name,population
"Natchitoches Parish, LA",38659
"Orleans Parish, LA",391006
"Ouachita Parish, LA",154475
"Plaquemines Parish, LA",23410
"Pointe Coupee Parish, LA",21940
"Rapides Parish, LA",130562
"Red River Parish, LA",8477
"Richland Parish, LA",20192
"Sabine Parish, LA",24032
"St. Bernard Parish, LA",46721
"St. Charles Parish, LA",52879
"St. Helena Parish, LA",10262
"St. James Parish, LA",21037
"St. John the Baptist Parish, LA",43184
"St. Landry Parish, LA",82764
"St. Martin Parish, LA",53621
"St. Mary Parish, LA",49774
"St. Tammany Parish, LA",258111
"Tangipahoa Parish, LA",133777
"Tensas Parish, LA",4462
"Terrebonne Parish, LA",111021
"Union Parish, LA",22330
"Vermilion Parish, LA",59830
"Vernon Parish, LA",48860
"Washington Parish, LA",46582
"Webster Parish, LA",38798
"West Baton Rouge Parish, LA",26427
"West Carroll Parish, LA",10982
"West Feliciana Parish, LA",15460
"Winn Parish, LA",14134
"Androscoggin County, ME",107679
"Aroostook County, ME",67111
"Kennebec County, ME",122083
"Oxford County, ME",57618
"Penobscot County, ME",151096
"Piscataquis County, ME",16800
"Sagadahoc County, ME",35634
"Somerset County, PA",73952
"Waldo County, ME",39694
"York County, VA",67846
"Allegany County, NY",46430
"Anne Arundel County, MD",576031
"Baltimore County, MD",828431
"Calvert County, MD",92003
"Caroline County, VA",30772
"Cecil County, MD",102826
"Charles County, MD",161503
"Dorchester County, SC",160647
"Frederick County, VA",88355
"Garrett County, MD",29163
"Harford County, MD",253956
"Prince George's County, MD",909308
"Queen Anne's County, MD",50251
"St. Mary's County, MD",112664
"Wicomico County, MD",103195
"Worcester County, MA",830839
"Baltimore city, MD",602495
"Barnstable County, MA",213413
"Berkshire County, MA",126348
"Bristol County, RI",48649
"Dukes County, MA",17352
"Essex County, VA",10919
"Hampden County, MA",470406
"Hampshire County, WV",23347
"Nantucket County, MA",11327
"Norfolk County, MA",705388
"Suffolk County, NY",1481093
"Alcona County, MI",10362
"Alger County, MI",9097
"Allegan County, MI",117327
"Alpena County, MI",28360
"Antrim County, MI",23365
"Arenac County, MI",15041
"Baraga County, MI",8320
"Barry County, MO",35886
"Benzie County, MI",17753
"Branch County, MI",43622
"Charlevoix County, MI",26244
"Cheboygan County, MI",25413
"Chippewa County, WI",64135
"Clare County, MI",30757
"Eaton County, MI",109826
"Genesee County, NY",57511
"Gladwin County, MI",25337
"Gogebic County, MI",15096
"Grand Traverse County, MI",92573
"Gratiot County, MI",40599
"Hillsdale County, MI",45749
"Houghton County, MI",36219
"Huron County, OH",58504
"Ingham County, MI",292735
"Ionia County, MI",64210
"Iosco County, MI",25081
"Iron County, WI",5676
"Isabella County, MI",70562
"Kalamazoo County, MI",264870
"Kalkaska County, MI",17824
"Keweenaw County, MI",2113
"Lapeer County, MI",88028
"Leelanau County, MI",21764
"Lenawee County, MI",98266
"Luce County, MI",6283
"Mackinac County, MI",10787
"Macomb County, MI",874759
"Manistee County, MI",24528
"Marquette County, WI",15434
"Mecosta County, MI",43545
"Menominee County, WI",4658
"Midland County, TX",172578
"Missaukee County, MI",15113
"Montcalm County, MI",63968
"Montmorency County, MI",9265
"Muskegon County, MI",173588
"Newaygo County, MI",48892
"Oakland County, MI",1259201
